PassengerId,Survived,Name
"995","0","Johansson Palmquist, Mr. Oskar Leander"
"996","1","Thomas, Mrs. Alexander (Thamine Thelma"")"""
"997","0","Holthen, Mr. Johan Martin"
"998","0","Buckley, Mr. Daniel"
"999","0","Ryan, Mr. Edward"
"1000","0","Willer, Mr. Aaron (Abi Weller"")"""
"1001","0","Swane, Mr. George"
"1002","0","Stanton, Mr. Samuel Ward"
"1003","1","Shine, Miss. Ellen Natalia"
"1004","1","Evans, Miss. Edith Corse"
"1005","1","Buckley, Miss. Katherine"
"1006","1","Straus, Mrs. Isidor (Rosalie Ida Blun)"
"1007","0","Chronopoulos, Mr. Demetrios"
"1008","0","Thomas, Mr. John"
"1009","1","Sandstrom, Miss. Beatrice Irene"
"1010","0","Beattie, Mr. Thomson"
"1011","1","Chapman, Mrs. John Henry (Sara Elizabeth Lawry)"
"1012","1","Watt, Miss. Bertha J"
"1013","0","Kiernan, Mr. John"
"1014","1","Schabert, Mrs. Paul (Emma Mock)"
"1015","0","Carver, Mr. Alfred John"
"1016","0","Kennedy, Mr. John"
"1017","1","Cribb, Miss. Laura Alice"
"1018","0","Brobeck, Mr. Karl Rudolf"
"1019","1","McCoy, Miss. Alicia"
"1020","0","Bowenur, Mr. Solomon"
"1021","0","Petersen, Mr. Marius"
"1022","0","Spinner, Mr. Henry John"
"1023","0","Gracie, Col. Archibald IV"
"1024","1","Lefebre, Mrs. Frank (Frances)"
"1025","0","Thomas, Mr. Charles P"
"1026","0","Dintcheff, Mr. Valtcho"
"1027","0","Carlsson, Mr. Carl Robert"
"1028","0","Zakarian, Mr. Mapriededer"
"1029","0","Schmidt, Mr. August"
"1030","1","Drapkin, Miss. Jennie"
"1031","0","Goodwin, Mr. Charles Frederick"
"1032","1","Goodwin, Miss. Jessie Allis"
"1033","1","Daniels, Miss. Sarah"
"1034","0","Ryerson, Mr. Arthur Larned"
"1035","0","Beauchamp, Mr. Henry James"
"1036","0","Lindeberg-Lind, Mr. Erik Gustaf (Mr Edward Lingrey"")"""
"1037","0","Vander Planke, Mr. Julius"
"1038","0","Hilliard, Mr. Herbert Henry"
"1039","0","Davies, Mr. Evan"
"1040","0","Crafton, Mr. John Bertram"
"1041","0","Lahtinen, Rev. William"
"1042","1","Earnshaw, Mrs. Boulton (Olive Potter)"
"1043","0","Matinoff, Mr. Nicola"
"1044","0","Storey, Mr. Thomas"
"1045","1","Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)"
"1046","1","Asplund, Master. Filip Oscar"
"1047","0","Duquemin, Mr. Joseph"
"1048","1","Bird, Miss. Ellen"
"1049","1","Lundin, Miss. Olga Elida"
"1050","0","Borebank, Mr. John James"
"1051","1","Peacock, Mrs. Benjamin (Edith Nile)"
"1052","1","Smyth, Miss. Julia"
"1053","1","Touma, Master. Georges Youssef"
"1054","1","Wright, Miss. Marion"
"1055","0","Pearce, Mr. Ernest"
"1056","0","Peruschitz, Rev. Joseph Maria"
"1057","1","Kink-Heilmann, Mrs. Anton (Luise Heilmann)"
"1058","0","Brandeis, Mr. Emil"
"1059","0","Ford, Mr. Edward Watson"
"1060","1","Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)"
"1061","1","Hellstrom, Miss. Hilda Maria"
"1062","0","Lithman, Mr. Simon"
"1063","0","Zakarian, Mr. Ortin"
"1064","0","Dyker, Mr. Adolf Fredrik"
"1065","0","Torfa, Mr. Assad"
"1066","0","Asplund, Mr. Carl Oscar Vilhelm Gustafsson"
"1067","1","Brown, Miss. Edith Eileen"
"1068","1","Sincock, Miss. Maude"
"1069","0","Stengel, Mr. Charles Emil Henry"
"1070","1","Becker, Mrs. Allen Oliver (Nellie E Baumgardner)"
"1071","1","Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)"
"1072","0","McCrie, Mr. James Matthew"
"1073","0","Compton, Mr. Alexander Taylor Jr"
"1074","1","Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)"
"1075","0","Lane, Mr. Patrick"
"1076","1","Douglas, Mrs. Frederick Charles (Mary Helene Baxter)"
"1077","0","Maybery, Mr. Frank Hubert"
"1078","1","Phillips, Miss. Alice Frances Louisa"
"1079","0","Davies, Mr. Joseph"
"1080","1","Sage, Miss. Ada"
"1081","0","Veal, Mr. James"
"1082","0","Angle, Mr. William A"
"1083","0","Salomon, Mr. Abraham L"
"1084","1","van Billiard, Master. Walter John"
"1085","0","Lingane, Mr. John"
"1086","1","Drew, Master. Marshall Brines"
"1087","0","Karlsson, Mr. Julius Konrad Eugen"
"1088","1","Spedden, Master. Robert Douglas"
"1089","1","Nilsson, Miss. Berta Olivia"
"1090","0","Baimbrigge, Mr. Charles Robert"
"1091","1","Rasmussen, Mrs. (Lena Jacobsen Solvang)"
"1092","1","Murphy, Miss. Nora"
"1093","1","Danbom, Master. Gilbert Sigvard Emanuel"
"1094","0","Astor, Col. John Jacob"
"1095","1","Quick, Miss. Winifred Vera"
"1096","0","Andrew, Mr. Frank Thomas"
"1097","0","Omont, Mr. Alfred Fernand"
"1098","1","McGowan, Miss. Katherine"
"1099","0","Collett, Mr. Sidney C Stuart"
"1100","1","Rosenbaum, Miss. Edith Louise"
"1101","0","Delalic, Mr. Redjo"
"1102","0","Andersen, Mr. Albert Karvin"
"1103","0","Finoli, Mr. Luigi"
"1104","0","Deacon, Mr. Percy William"
"1105","1","Howard, Mrs. Benjamin (Ellen Truelove Arman)"
"1106","1","Andersson, Miss. Ida Augusta Margareta"
"1107","0","Head, Mr. Christopher"
"1108","1","Mahon, Miss. Bridget Delia"
"1109","0","Wick, Mr. George Dennick"
"1110","1","Widener, Mrs. George Dunton (Eleanor Elkins)"
"1111","0","Thomson, Mr. Alexander Morrison"
"1112","1","Duran y More, Miss. Florentina"
"1113","0","Reynolds, Mr. Harold J"
"1114","1","Cook, Mrs. (Selena Rogers)"
"1115","0","Karlsson, Mr. Einar Gervasius"
"1116","1","Candee, Mrs. Edward (Helen Churchill Hungerford)"
"1117","1","Moubarek, Mrs. George (Omine Amenia"" Alexander)"""
"1118","0","Asplund, Mr. Johan Charles"
"1119","1","McNeill, Miss. Bridget"
"1120","0","Everett, Mr. Thomas James"
"1121","0","Hocking, Mr. Samuel James Metcalfe"
"1122","0","Sweet, Mr. George Frederick"
"1123","1","Willard, Miss. Constance"
"1124","0","Wiklund, Mr. Karl Johan"
"1125","0","Linehan, Mr. Michael"
"1126","0","Cumings, Mr. John Bradley"
"1127","0","Vendel, Mr. Olof Edvin"
"1128","0","Warren, Mr. Frank Manley"
"1129","0","Baccos, Mr. Raffull"
"1130","1","Hiltunen, Miss. Marta"
"1131","1","Douglas, Mrs. Walter Donald (Mahala Dutton)"
"1132","1","Lindstrom, Mrs. Carl Johan (Sigrid Posse)"
"1133","1","Christy, Mrs. (Alice Frances)"
"1134","0","Spedden, Mr. Frederic Oakley"
"1135","0","Hyman, Mr. Abraham"
"1136","1","Johnston, Master. William Arthur Willie"""""
"1137","0","Kenyon, Mr. Frederick R"
"1138","1","Karnes, Mrs. J Frank (Claire Bennett)"
"1139","0","Drew, Mr. James Vivian"
"1140","1","Hold, Mrs. Stephen (Annie Margaret Hill)"
"1141","1","Khalil, Mrs. Betros (Zahie Maria"" Elias)"""
"1142","1","West, Miss. Barbara J"
"1143","0","Abrahamsson, Mr. Abraham August Johannes"
"1144","0","Clark, Mr. Walter Miller"
"1145","0","Salander, Mr. Karl Johan"
"1146","0","Wenzel, Mr. Linhart"
"1147","0","MacKay, Mr. George William"
"1148","0","Mahon, Mr. John"
"1149","0","Niklasson, Mr. Samuel"
"1150","1","Bentham, Miss. Lilian W"
"1151","0","Midtsjo, Mr. Karl Albert"
"1152","0","de Messemaeker, Mr. Guillaume Joseph"
"1153","0","Nilsson, Mr. August Ferdinand"
"1154","1","Wells, Mrs. Arthur Henry (Addie"" Dart Trevaskis)"""
"1155","1","Klasen, Miss. Gertrud Emilia"
"1156","0","Portaluppi, Mr. Emilio Ilario Giuseppe"
"1157","0","Lyntakoff, Mr. Stanko"
"1158","0","Chisholm, Mr. Roderick Robert Crispin"
"1159","0","Warren, Mr. Charles William"
"1160","1","Howard, Miss. May Elizabeth"
"1161","0","Pokrnic, Mr. Mate"
"1162","0","McCaffry, Mr. Thomas Francis"
"1163","0","Fox, Mr. Patrick"
"1164","1","Clark, Mrs. Walter Miller (Virginia McDowell)"
"1165","1","Lennon, Miss. Mary"
"1166","0","Saade, Mr. Jean Nassr"
"1167","1","Bryhl, Miss. Dagmar Jenny Ingeborg"
"1168","0","Parker, Mr. Clifford Richard"
"1169","0","Faunthorpe, Mr. Harry"
"1170","0","Ware, Mr. John James"
"1171","0","Oxenham, Mr. Percy Thomas"
"1172","1","Oreskovic, Miss. Jelka"
"1173","1","Peacock, Master. Alfred Edward"
"1174","1","Fleming, Miss. Honora"
"1175","1","Touma, Miss. Maria Youssef"
"1176","1","Rosblom, Miss. Salli Helena"
"1177","0","Dennis, Mr. William"
"1178","0","Franklin, Mr. Charles (Charles Fardon)"
"1179","0","Snyder, Mr. John Pillsbury"
"1180","0","Mardirosian, Mr. Sarkis"
"1181","0","Ford, Mr. Arthur"
"1182","0","Rheims, Mr. George Alexander Lucien"
"1183","1","Daly, Miss. Margaret Marcella Maggie"""""
"1184","0","Nasr, Mr. Mustafa"
"1185","0","Dodge, Dr. Washington"
"1186","0","Wittevrongel, Mr. Camille"
"1187","0","Angheloff, Mr. Minko"
"1188","1","Laroche, Miss. Louise"
"1189","0","Samaan, Mr. Hanna"
"1190","0","Loring, Mr. Joseph Holland"
"1191","0","Johansson, Mr. Nils"
"1192","0","Olsson, Mr. Oscar Wilhelm"
"1193","0","Malachard, Mr. Noel"
"1194","0","Phillips, Mr. Escott Robert"
"1195","0","Pokrnic, Mr. Tome"
"1196","1","McCarthy, Miss. Catherine Katie"""""
"1197","1","Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)"
"1198","0","Allison, Mr. Hudson Joshua Creighton"
"1199","1","Aks, Master. Philip Frank"
"1200","0","Hays, Mr. Charles Melville"
"1201","1","Hansen, Mrs. Claus Peter (Jennie L Howard)"
"1202","0","Cacic, Mr. Jego Grga"
"1203","0","Vartanian, Mr. David"
"1204","0","Sadowitz, Mr. Harry"
"1205","1","Carr, Miss. Jeannie"
"1206","1","White, Mrs. John Stuart (Ella Holmes)"
"1207","1","Hagardon, Miss. Kate"
"1208","0","Spencer, Mr. William Augustus"
"1209","0","Rogers, Mr. Reginald Harry"
"1210","0","Jonsson, Mr. Nils Hilding"
"1211","0","Jefferys, Mr. Ernest Wilfred"
"1212","0","Andersson, Mr. Johan Samuel"
"1213","0","Krekorian, Mr. Neshan"
"1214","0","Nesson, Mr. Israel"
"1215","0","Rowe, Mr. Alfred G"
"1216","1","Kreuchen, Miss. Emilie"
"1217","0","Assam, Mr. Ali"
"1218","1","Becker, Miss. Ruth Elizabeth"
"1219","0","Rosenshine, Mr. George (Mr George Thorne"")"""
"1220","0","Clarke, Mr. Charles Valentine"
"1221","0","Enander, Mr. Ingvar"
"1222","1","Davies, Mrs. John Morgan (Elizabeth Agnes Mary White)"
"1223","0","Dulles, Mr. William Crothers"
"1224","0","Thomas, Mr. Tannous"
"1225","1","Nakid, Mrs. Said (Waika Mary"" Mowad)"""
"1226","0","Cor, Mr. Ivan"
"1227","0","Maguire, Mr. John Edward"
"1228","0","de Brito, Mr. Jose Joaquim"
"1229","0","Elias, Mr. Joseph"
"1230","0","Denbury, Mr. Herbert"
"1231","1","Betros, Master. Seman"
"1232","0","Fillbrook, Mr. Joseph Charles"
"1233","0","Lundstrom, Mr. Thure Edvin"
"1234","0","Sage, Mr. John George"
"1235","1","Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)"
"1236","1","van Billiard, Master. James William"
"1237","1","Abelseth, Miss. Karen Marie"
"1238","0","Botsford, Mr. William Hull"
"1239","1","Whabee, Mrs. George Joseph (Shawneene Abi-Saab)"
"1240","0","Giles, Mr. Ralph"
"1241","1","Walcroft, Miss. Nellie"
"1242","1","Greenfield, Mrs. Leo David (Blanche Strouse)"
"1243","0","Stokes, Mr. Philip Joseph"
"1244","0","Dibden, Mr. William"
"1245","0","Herman, Mr. Samuel"
"1246","1","Dean, Miss. Elizabeth Gladys Millvina"""""
"1247","0","Julian, Mr. Henry Forbes"
"1248","1","Brown, Mrs. John Murray (Caroline Lane Lamson)"
"1249","0","Lockyer, Mr. Edward"
"1250","0","O'Keefe, Mr. Patrick"
"1251","1","Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson)"
"1252","1","Sage, Master. William Henry"
"1253","1","Mallet, Mrs. Albert (Antoinette Magnin)"
"1254","1","Ware, Mrs. John James (Florence Louise Long)"
"1255","0","Strilic, Mr. Ivan"
"1256","1","Harder, Mrs. George Achilles (Dorothy Annan)"
"1257","1","Sage, Mrs. John (Annie Bullen)"
"1258","0","Caram, Mr. Joseph"
"1259","1","Riihivouri, Miss. Susanna Juhantytar Sanni"""""
"1260","1","Gibson, Mrs. Leonard (Pauline C Boeson)"
"1261","0","Pallas y Castello, Mr. Emilio"
"1262","0","Giles, Mr. Edgar"
"1263","1","Wilson, Miss. Helen Alice"
"1264","0","Ismay, Mr. Joseph Bruce"
"1265","0","Harbeck, Mr. William H"
"1266","1","Dodge, Mrs. Washington (Ruth Vidaver)"
"1267","1","Bowen, Miss. Grace Scott"
"1268","1","Kink, Miss. Maria"
"1269","0","Cotterill, Mr. Henry Harry"""""
"1270","0","Hipkins, Mr. William Edward"
"1271","1","Asplund, Master. Carl Edgar"
"1272","0","O'Connor, Mr. Patrick"
"1273","0","Foley, Mr. Joseph"
"1274","1","Risien, Mrs. Samuel (Emma)"
"1275","1","McNamee, Mrs. Neal (Eileen O'Leary)"
"1276","0","Wheeler, Mr. Edwin Frederick"""""
"1277","1","Herman, Miss. Kate"
"1278","0","Aronsson, Mr. Ernst Axel Algot"
"1279","0","Ashby, Mr. John"
"1280","0","Canavan, Mr. Patrick"
"1281","1","Palsson, Master. Paul Folke"
"1282","0","Payne, Mr. Vivian Ponsonby"
"1283","1","Lines, Mrs. Ernest H (Elizabeth Lindsey James)"
"1284","1","Abbott, Master. Eugene Joseph"
"1285","0","Gilbert, Mr. William"
"1286","0","Kink-Heilmann, Mr. Anton"
"1287","1","Smith, Mrs. Lucien Philip (Mary Eloise Hughes)"
"1288","0","Colbert, Mr. Patrick"
"1289","1","Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)"
"1290","0","Larsson-Rondberg, Mr. Edvard A"
"1291","0","Conlon, Mr. Thomas Henry"
"1292","1","Bonnell, Miss. Caroline"
"1293","0","Gale, Mr. Harry"
"1294","1","Gibson, Miss. Dorothy Winifred"
"1295","0","Carrau, Mr. Jose Pedro"
"1296","0","Frauenthal, Mr. Isaac Gerald"
"1297","0","Nourney, Mr. Alfred (Baron von Drachstedt"")"""
"1298","0","Ware, Mr. William Jeffery"
"1299","0","Widener, Mr. George Dunton"
"1300","1","Riordan, Miss. Johanna Hannah"""""
"1301","1","Peacock, Miss. Treasteall"
"1302","1","Naughton, Miss. Hannah"
"1303","1","Minahan, Mrs. William Edward (Lillian E Thorpe)"
"1304","1","Henriksson, Miss. Jenny Lovisa"
"1305","0","Spector, Mr. Woolf"
"1306","1","Oliva y Ocana, Dona. Fermina"
"1307","0","Saether, Mr. Simon Sivertsen"
"1308","0","Ware, Mr. Frederick"
"1309","1","Peter, Master. Michael J"
