"";"x"
"556";-99,445
"557";-99,444
"558";-99,443
"559";-99,442
"560";-99,441
"561";-99,44
"562";-99,439
"563";-99,438
"564";-99,437
"565";-99,436
"566";-99,435
"567";-99,434
"568";-99,433
"569";-99,432
"570";-99,431
"571";-99,43
"572";-99,429
"573";-99,428
"574";-99,427
"575";-99,426
"576";-99,425
"577";-99,424
"578";-99,423
"579";-99,422
"580";-99,421
"581";-99,42
"582";-99,419
"583";-99,418
"584";-99,417
"585";-99,416
"586";-99,415
"587";-99,414
"588";-99,413
"589";-99,412
"590";-99,411
"591";-99,41
"592";-99,409
"593";-99,408
"594";-99,407
"595";-99,406
"596";-99,405
"597";-99,404
"598";-99,403
"599";-99,402
"600";-99,401
"601";-99,4
"602";-99,399
"603";-99,398
"604";-99,397
"605";-99,396
"606";-99,395
"607";-99,394
"608";-99,393
"609";-99,392
"610";-99,391
"611";-99,39
"612";-99,389
"613";-99,388
"614";-99,387
"615";-99,386
"616";-99,385
"617";-99,384
"618";-99,383
"619";-99,382
"620";-99,381
"621";-99,38
"622";-99,379
"623";-99,378
"624";-99,377
"625";-99,376
"626";-99,375
"627";-99,374
"628";-99,373
"629";-99,372
"630";-99,371
"631";-99,37
"632";-99,369
"633";-99,368
"634";-99,367
"635";-99,366
"636";-99,365
"637";-99,364
"638";-99,363
"639";-99,362
"640";-99,361
"641";-99,36
"642";-99,359
"643";-99,358
"644";-99,357
"645";-99,356
"646";-99,355
"647";-99,354
"648";-99,353
"649";-99,352
"650";-99,351
"651";-99,35
"652";-99,349
"653";-99,348
"654";-99,347
"655";-99,346
"656";-99,345
"657";-99,344
"658";-99,343
"659";-99,342
"660";-99,341
"661";-99,34
"662";-99,339
"663";-99,338
"664";-99,337
"665";-99,336
"666";-99,335
"667";-99,334
"668";-99,333
"669";-99,332
"670";-99,331
"671";-99,33
"672";-99,329
"673";-99,328
"674";-99,327
"675";-99,326
"676";-99,325
"677";-99,324
"678";-99,323
"679";-99,322
"680";-99,321
"681";-99,32
"682";-99,319
"683";-99,318
"684";-99,317
"685";-99,316
"686";-99,315
"687";-99,314
"688";-99,313
"689";-99,312
"690";-99,311
"691";-99,31
"692";-99,309
"693";-99,308
"694";-99,307
"695";-99,306
"696";-99,305
"697";-99,304
"698";-99,303
"699";-99,302
"700";-99,301
"701";-99,3
"702";-99,299
"703";-99,298
"704";-99,297
"705";-99,296
"706";-99,295
"707";-99,294
"708";-99,293
"709";-99,292
"710";-99,291
"711";-99,29
"712";-99,289
"713";-99,288
"714";-99,287
"715";-99,286
"716";-99,285
"717";-99,284
"718";-99,283
"719";-99,282
"720";-99,281
"721";-99,28
"722";-99,279
"723";-99,278
"724";-99,277
"725";-99,276
"726";-99,275
"727";-99,274
"728";-99,273
"729";-99,272
"730";-99,271
"731";-99,27
"732";-99,269
"733";-99,268
"734";-99,267
"735";-99,266
"736";-99,265
"737";-99,264
"738";-99,263
"739";-99,262
"740";-99,261
"741";-99,26
"742";-99,259
"743";-99,258
"744";-99,257
"745";-99,256
"746";-99,255
"747";-99,254
"748";-99,253
"749";-99,252
"750";-99,251
"751";-99,25
"752";-99,249
"753";-99,248
"754";-99,247
"755";-99,246
"756";-99,245
"757";-99,244
"758";-99,243
"759";-99,242
"760";-99,241
"761";-99,24
"762";-99,239
"763";-99,238
"764";-99,237
"765";-99,236
"766";-99,235
"767";-99,234
"768";-99,233
"769";-99,232
"770";-99,231
"771";-99,23
"772";-99,229
"773";-99,228
"774";-99,227
"775";-99,226
"776";-99,225
"777";-99,224
"778";-99,223
"779";-99,222
"780";-99,221
"781";-99,22
"782";-99,219
"783";-99,218
"784";-99,217
"785";-99,216
"786";-99,215
"787";-99,214
"788";-99,213
"789";-99,212
"790";-99,211
"791";-99,21
"792";-99,209
"793";-99,208
"794";-99,207
"795";-99,206
"796";-99,205
"797";-99,204
"798";-99,203
"799";-99,202
"800";-99,201
"801";-99,2
"802";-99,199
"803";-99,198
"804";-99,197
"805";-99,196
"806";-99,195
"807";-99,194
"808";-99,193
"809";-99,192
"810";-99,191
"811";-99,19
"812";-99,189
"813";-99,188
"814";-99,187
"815";-99,186
"816";-99,185
"817";-99,184
"818";-99,183
"819";-99,182
"820";-99,181
"821";-99,18
"822";-99,179
"823";-99,178
"824";-99,177
"825";-99,176
"826";-99,175
"827";-99,174
"828";-99,173
"829";-99,172
"830";-99,171
"831";-99,17
"832";-99,169
"833";-99,168
"834";-99,167
"835";-99,166
"836";-99,165
"837";-99,164
"838";-99,163
"839";-99,162
"840";-99,161
"841";-99,16
"842";-99,159
"843";-99,158
"844";-99,157
"845";-99,156
"846";-99,155
"847";-99,154
"848";-99,153
"849";-99,152
"850";-99,151
"851";-99,15
"852";-99,149
"853";-99,148
"854";-99,147
"855";-99,146
"856";-99,145
"857";-99,144
"858";-99,143
"859";-99,142
"860";-99,141
"861";-99,14
"862";-99,139
"863";-99,138
"864";-99,137
"865";-99,136
"866";-99,135
"867";-99,134
"868";-99,133
"869";-99,132
"870";-99,131
"871";-99,13
"872";-99,129
"873";-99,128
"874";-99,127
"875";-99,126
"876";-99,125
"877";-99,124
"878";-99,123
"879";-99,122
"880";-99,121
"881";-99,12
"882";-99,119
"883";-99,118
"884";-99,117
"885";-99,116
"886";-99,115
"887";-99,114
"888";-99,113
"889";-99,112
"890";-99,111
"891";-99,11
"892";-99,109
"893";-99,108
"894";-99,107
"895";-99,106
"896";-99,105
"897";-99,104
"898";-99,103
"899";-99,102
"900";-99,101
"901";-99,1
"902";-99,099
"903";-99,098
"904";-99,097
"905";-99,096
"906";-99,095
"907";-99,094
"908";-99,093
"909";-99,092
"910";-99,091
"911";-99,09
"912";-99,089
"913";-99,088
"914";-99,087
"915";-99,086
"916";-99,085
"917";-99,084
"918";-99,083
"919";-99,082
"920";-99,081
"921";-99,08
"922";-99,079
"923";-99,078
"924";-99,077
"925";-99,076
"926";-99,075
"927";-99,074
"928";-99,073
"929";-99,072
"930";-99,071
"931";-99,07
"932";-99,069
"933";-99,068
"934";-99,067
"935";-99,066
"936";-99,065
"937";-99,064
"938";-99,063
"939";-99,062
"940";-99,061
"941";-99,06
"942";-99,059
"943";-99,058
"944";-99,057
"945";-99,056
"946";-99,055
"947";-99,054
"948";-99,053
"949";-99,052
"950";-99,051
"951";-99,05
"952";-99,049
"953";-99,048
"954";-99,047
"955";-99,046
"956";-99,045
"957";-99,044
"958";-99,043
"959";-99,042
"960";-99,041
"961";-99,04
"962";-99,039
"963";-99,038
"964";-99,037
"965";-99,036
"966";-99,035
"967";-99,034
"968";-99,033
"969";-99,032
"970";-99,031
"971";-99,03
"972";-99,029
"973";-99,028
"974";-99,027
"975";-99,026
"976";-99,025
"977";-99,024
"978";-99,023
"979";-99,022
"980";-99,021
"981";-99,02
"982";-99,019
"983";-99,018
"984";-99,017
"985";-99,016
"986";-99,015
"987";-99,014
"988";-99,013
"989";-99,012
"990";-99,011
"991";-99,01
"992";-99,009
"993";-99,008
"994";-99,007
"995";-99,006
"996";-99,005
"997";-99,004
"998";-99,003
"999";-99,002
"1000";-99,001
"1001";-99
"1002";-98,999
"1003";-98,998
"1004";-98,997
"1005";-98,996
"1006";-98,995
"1007";-98,994
"1008";-98,993
"1009";-98,992
"1010";-98,991
"1011";-98,99
"1012";-98,989
"1013";-98,988
"1014";-98,987
"1015";-98,986
"1016";-98,985
"1017";-98,984
"1018";-98,983
"1019";-98,982
"1020";-98,981
"1021";-98,98
"1022";-98,979
"1023";-98,978
"1024";-98,977
"1025";-98,976
"1026";-98,975
"1027";-98,974
"1028";-98,973
"1029";-98,972
"1030";-98,971
"1031";-98,97
"1032";-98,969
"1033";-98,968
"1034";-98,967
"1035";-98,966
"1036";-98,965
"1037";-98,964
"1038";-98,963
"1039";-98,962
"1040";-98,961
"1041";-98,96
"1042";-98,959
"1043";-98,958
"1044";-98,957
"1045";-98,956
"1046";-98,955
"1047";-98,954
"1048";-98,953
"1049";-98,952
"1050";-98,951
"1051";-98,95
"1052";-98,949
"1053";-98,948
"1054";-98,947
"1055";-98,946
"1056";-98,945
"1057";-98,944
"1058";-98,943
"1059";-98,942
"1060";-98,941
"1061";-98,94
"1062";-98,939
"1063";-98,938
"1064";-98,937
"1065";-98,936
"1066";-98,935
"1067";-98,934
"1068";-98,933
"1069";-98,932
"1070";-98,931
"1071";-98,93
"1072";-98,929
"1073";-98,928
"1074";-98,927
"1075";-98,926
"1076";-98,925
"1077";-98,924
"1078";-98,923
"1079";-98,922
"1080";-98,921
"1081";-98,92
"1082";-98,919
"1083";-98,918
"1084";-98,917
"1085";-98,916
"1086";-98,915
"1087";-98,914
"1088";-98,913
"1089";-98,912
"1090";-98,911
"1091";-98,91
"1092";-98,909
"1093";-98,908
"1094";-98,907
"1095";-98,906
"1096";-98,905
"1097";-98,904
"1098";-98,903
"1099";-98,902
"1100";-98,901
"1101";-98,9
"1102";-98,899
"1103";-98,898
"1104";-98,897
"1105";-98,896
"1106";-98,895
"1107";-98,894
"1108";-98,893
"1109";-98,892
"1110";-98,891
"1111";-98,89
"1112";-98,889
"1113";-98,888
"1114";-98,887
"1115";-98,886
"1116";-98,885
"1117";-98,884
"1118";-98,883
"1119";-98,882
"1120";-98,881
"1121";-98,88
"1122";-98,879
"1123";-98,878
"1124";-98,877
"1125";-98,876
"1126";-98,875
"1127";-98,874
"1128";-98,873
"1129";-98,872
"1130";-98,871
"1131";-98,87
"1132";-98,869
"1133";-98,868
"1134";-98,867
"1135";-98,866
"1136";-98,865
"1137";-98,864
"1138";-98,863
"1139";-98,862
"1140";-98,861
"1141";-98,86
"1142";-98,859
"1143";-98,858
"1144";-98,857
"1145";-98,856
"1146";-98,855
"1147";-98,854
"1148";-98,853
"1149";-98,852
"1150";-98,851
"1151";-98,85
"1152";-98,849
"1153";-98,848
"1154";-98,847
"1155";-98,846
"1156";-98,845
"1157";-98,844
"1158";-98,843
"1159";-98,842
"1160";-98,841
"1161";-98,84
"1162";-98,839
"1163";-98,838
"1164";-98,837
"1165";-98,836
"1166";-98,835
"1167";-98,834
"1168";-98,833
"1169";-98,832
"1170";-98,831
"1171";-98,83
"1172";-98,829
"1173";-98,828
"1174";-98,827
"1175";-98,826
"1176";-98,825
"1177";-98,824
"1178";-98,823
"1179";-98,822
"1180";-98,821
"1181";-98,82
"1182";-98,819
"1183";-98,818
"1184";-98,817
"1185";-98,816
"1186";-98,815
"1187";-98,814
"1188";-98,813
"1189";-98,812
"1190";-98,811
"1191";-98,81
"1192";-98,809
"1193";-98,808
"1194";-98,807
"1195";-98,806
"1196";-98,805
"1197";-98,804
"1198";-98,803
"1199";-98,802
"1200";-98,801
"1201";-98,8
"1202";-98,799
"1203";-98,798
"1204";-98,797
"1205";-98,796
"1206";-98,795
"1207";-98,794
"1208";-98,793
"1209";-98,792
"1210";-98,791
"1211";-98,79
"1212";-98,789
"1213";-98,788
"1214";-98,787
"1215";-98,786
"1216";-98,785
"1217";-98,784
"1218";-98,783
"1219";-98,782
"1220";-98,781
"1221";-98,78
"1222";-98,779
"1223";-98,778
"1224";-98,777
"1225";-98,776
"1226";-98,775
"1227";-98,774
"1228";-98,773
"1229";-98,772
"1230";-98,771
"1231";-98,77
"1232";-98,769
"1233";-98,768
"1234";-98,767
"1235";-98,766
"1236";-98,765
"1237";-98,764
"1238";-98,763
"1239";-98,762
"1240";-98,761
"1241";-98,76
"1242";-98,759
"1243";-98,758
"1244";-98,757
"1245";-98,756
"1246";-98,755
"1247";-98,754
"1248";-98,753
"1249";-98,752
"1250";-98,751
"1251";-98,75
"1252";-98,749
"1253";-98,748
"1254";-98,747
"1255";-98,746
"1256";-98,745
"1257";-98,744
"1258";-98,743
"1259";-98,742
"1260";-98,741
"1261";-98,74
"1262";-98,739
"1263";-98,738
"1264";-98,737
"1265";-98,736
"1266";-98,735
"1267";-98,734
"1268";-98,733
"1269";-98,732
"1270";-98,731
"1271";-98,73
"1272";-98,729
"1273";-98,728
"1274";-98,727
"1275";-98,726
"1276";-98,725
"1277";-98,724
"1278";-98,723
"1279";-98,722
"1280";-98,721
"1281";-98,72
"1282";-98,719
"1283";-98,718
"1284";-98,717
"1285";-98,716
"1286";-98,715
"1287";-98,714
"1288";-98,713
"1289";-98,712
"1290";-98,711
"1291";-98,71
"1292";-98,709
"1293";-98,708
"1294";-98,707
"1295";-98,706
"1296";-98,705
"1297";-98,704
"1298";-98,703
"1299";-98,702
"1300";-98,701
"1301";-98,7
"1302";-98,699
"1303";-98,698
"1304";-98,697
"1305";-98,696
"1306";-98,695
"1307";-98,694
"1308";-98,693
"1309";-98,692
"1310";-98,691
"1311";-98,69
"1312";-98,689
"1313";-98,688
"1314";-98,687
"1315";-98,686
"1316";-98,685
"1317";-98,684
"1318";-98,683
"1319";-98,682
"1320";-98,681
"1321";-98,68
"1322";-98,679
"1323";-98,678
"1324";-98,677
"1325";-98,676
"1326";-98,675
"1327";-98,674
"1328";-98,673
"1329";-98,672
"1330";-98,671
"1331";-98,67
"1332";-98,669
"1333";-98,668
"1334";-98,667
"1335";-98,666
"1336";-98,665
"1337";-98,664
"1338";-98,663
"1339";-98,662
"1340";-98,661
"1341";-98,66
"1342";-98,659
"1343";-98,658
"1344";-98,657
"1345";-98,656
"1346";-98,655
"1347";-98,654
"1348";-98,653
"1349";-98,652
"1350";-98,651
"1351";-98,65
"1352";-98,649
"1353";-98,648
"1354";-98,647
"1355";-98,646
"1356";-98,645
"1357";-98,644
"1358";-98,643
"1359";-98,642
"1360";-98,641
"1361";-98,64
"1362";-98,639
"1363";-98,638
"1364";-98,637
"1365";-98,636
"1366";-98,635
"1367";-98,634
"1368";-98,633
"1369";-98,632
"1370";-98,631
"1371";-98,63
"1372";-98,629
"1373";-98,628
"1374";-98,627
"1375";-98,626
"1376";-98,625
"1377";-98,624
"1378";-98,623
"1379";-98,622
"1380";-98,621
"1381";-98,62
"1382";-98,619
"1383";-98,618
"1384";-98,617
"1385";-98,616
"1386";-98,615
"1387";-98,614
"1388";-98,613
"1389";-98,612
"1390";-98,611
"1391";-98,61
"1392";-98,609
"1393";-98,608
"1394";-98,607
"1395";-98,606
"1396";-98,605
"1397";-98,604
"1398";-98,603
"1399";-98,602
"1400";-98,601
"1401";-98,6
"1402";-98,599
"1403";-98,598
"1404";-98,597
"1405";-98,596
"1406";-98,595
"1407";-98,594
"1408";-98,593
"1409";-98,592
"1410";-98,591
"1411";-98,59
"1412";-98,589
"1413";-98,588
"1414";-98,587
"1415";-98,586
"1416";-98,585
"1417";-98,584
"1418";-98,583
"1419";-98,582
"1420";-98,581
"1421";-98,58
"1422";-98,579
"1423";-98,578
"1424";-98,577
"1425";-98,576
"1426";-98,575
"1427";-98,574
"1428";-98,573
"1429";-98,572
"1430";-98,571
"1431";-98,57
"1432";-98,569
"1433";-98,568
"1434";-98,567
"1435";-98,566
"1436";-98,565
"1437";-98,564
"1438";-98,563
"1439";-98,562
"1440";-98,561
"1441";-98,56
"1442";-98,559
"1443";-98,558
"1444";-98,557
"1445";-98,556
"1446";-98,555
"1447";-98,554
"1448";-98,553
"1449";-98,552
"1450";-98,551
"1451";-98,55
"1452";-98,549
"1453";-98,548
"1454";-98,547
"1455";-98,546
"1456";-98,545
"1457";-98,544
"1458";-98,543
"1459";-98,542
"1460";-98,541
"1461";-98,54
"1462";-98,539
"1463";-98,538
"1464";-98,537
"1465";-98,536
"1466";-98,535
"1467";-98,534
"1468";-98,533
"1469";-98,532
"1470";-98,531
"1471";-98,53
"1472";-98,529
"1473";-98,528
"1474";-98,527
"1475";-98,526
"1476";-98,525
"1477";-98,524
"1478";-98,523
"1479";-98,522
"1480";-98,521
"1481";-98,52
"1482";-98,519
"1483";-98,518
"1484";-98,517
"1485";-98,516
"1486";-98,515
"1487";-98,514
"1488";-98,513
"1489";-98,512
"1490";-98,511
"1491";-98,51
"1492";-98,509
"1493";-98,508
"1494";-98,507
"1495";-98,506
"1496";-98,505
"1497";-98,504
"1498";-98,503
"1499";-98,502
"1500";-98,501
"1501";-98,5
"1502";-98,499
"1503";-98,498
"1504";-98,497
"1505";-98,496
"1506";-98,495
"1507";-98,494
"1508";-98,493
"1509";-98,492
"1510";-98,491
"1511";-98,49
"1512";-98,489
"1513";-98,488
"1514";-98,487
"1515";-98,486
"1516";-98,485
"1517";-98,484
"1518";-98,483
"1519";-98,482
"1520";-98,481
"1521";-98,48
"1522";-98,479
"1523";-98,478
"1524";-98,477
"1525";-98,476
"1526";-98,475
"1527";-98,474
"1528";-98,473
"1529";-98,472
"1530";-98,471
"1531";-98,47
"1532";-98,469
"1533";-98,468
"1534";-98,467
"1535";-98,466
"1536";-98,465
"1537";-98,464
"1538";-98,463
"1539";-98,462
"1540";-98,461
"1541";-98,46
"1542";-98,459
"1543";-98,458
"1544";-98,457
"1545";-98,456
"1546";-98,455
"1547";-98,454
"1548";-98,453
"1549";-98,452
"1550";-98,451
"1551";-98,45
"1552";-98,449
"1553";-98,448
"1554";-98,447
"1555";-98,446
"1556";-98,445
"1557";-98,444
"1558";-98,443
"1559";-98,442
"1560";-98,441
"1561";-98,44
"1562";-98,439
"1563";-98,438
"1564";-98,437
"1565";-98,436
"1566";-98,435
"1567";-98,434
"1568";-98,433
"1569";-98,432
"1570";-98,431
"1571";-98,43
"1572";-98,429
"1573";-98,428
"1574";-98,427
"1575";-98,426
"1576";-98,425
"1577";-98,424
"1578";-98,423
"1579";-98,422
"1580";-98,421
"1581";-98,42
"1582";-98,419
"1583";-98,418
"1584";-98,417
"1585";-98,416
"1586";-98,415
"1587";-98,414
"1588";-98,413
"1589";-98,412
"1590";-98,411
"1591";-98,41
"1592";-98,409
"1593";-98,408
"1594";-98,407
"1595";-98,406
"1596";-98,405
"1597";-98,404
"1598";-98,403
"1599";-98,402
"1600";-98,401
"1601";-98,4
"1602";-98,399
"1603";-98,398
"1604";-98,397
"1605";-98,396
"1606";-98,395
"1607";-98,394
"1608";-98,393
"1609";-98,392
"1610";-98,391
"1611";-98,39
"1612";-98,389
"1613";-98,388
"1614";-98,387
"1615";-98,386
"1616";-98,385
"1617";-98,384
"1618";-98,383
"1619";-98,382
"1620";-98,381
"1621";-98,38
"1622";-98,379
"1623";-98,378
"1624";-98,377
"1625";-98,376
"1626";-98,375
"1627";-98,374
"1628";-98,373
"1629";-98,372
"1630";-98,371
"1631";-98,37
"1632";-98,369
"1633";-98,368
"1634";-98,367
"1635";-98,366
"1636";-98,365
"1637";-98,364
"1638";-98,363
"1639";-98,362
"1640";-98,361
"1641";-98,36
"1642";-98,359
"1643";-98,358
"1644";-98,357
"1645";-98,356
"1646";-98,355
"1647";-98,354
"1648";-98,353
"1649";-98,352
"1650";-98,351
"1651";-98,35
"1652";-98,349
"1653";-98,348
"1654";-98,347
"1655";-98,346
"1656";-98,345
"1657";-98,344
"1658";-98,343
"1659";-98,342
"1660";-98,341
"1661";-98,34
"1662";-98,339
"1663";-98,338
"1664";-98,337
"1665";-98,336
